711,572,363,572
363,572,297,635
297,635,297,920
297,920,360,988
360,988,713,987
713,987,713,927
713,927,635,838
635,838,618,837
618,837,617,826
617,826,651,830
651,830,702,861
702,861,713,861
713,861,745,892
745,892,903,891
903,891,926,834
926,834,927,815
927,815,941,816
941,816,939,828
939,828,1032,847
711,572,713,636
713,636,638,717
638,717,617,719
617,719,616,730
616,730,645,731
645,731,703,701
703,701,715,701
715,701,745,668
745,668,902,668
902,668,927,722
927,722,927,743
927,743,937,743
937,743,939,731
939,731,1032,716
1032,716,1033,638
1033,638,1095,638
1095,638,1162,606
1162,606,1285,604
1032,847,1034,939
1034,939,1097,936
1097,936,1160,987
1160,987,1190,988
1190,988,1190,1004
1190,1004,1224,1004
1224,1004,1225,989
1225,989,1257,988
1257,988,1319,940
1319,940,1352,940
1352,940,1351,846
1285,604,1306,429
1306,429,1418,379
1418,379,1511,378
1513,445,1420,443
1420,443,1372,460
1372,460,1354,601
1354,601,1353,714
1353,714,1368,716
1368,716,1369,636
1369,636,1416,604
1416,604,1609,603
1609,603,1639,622
1639,622,1802,623
1802,623,1815,659
1815,659,1898,721
1898,721,2056,718
2056,718,2057,621
2057,621,2119,618
2119,618,2120,605
2120,605,2065,570
2065,570,2055,557
2055,557,1994,557
1994,557,1945,511
1945,511,1930,510
1930,510,1930,539
1930,539,1771,539
1771,539,1770,568
1770,568,1483,572
1483,572,1481,478
1481,478,1514,478
1514,478,1513,445
807,699,807,731
807,731,839,731
839,731,840,703
840,703,807,699
808,828,809,858
809,858,840,858
840,858,841,830
841,830,808,828
1130,698,1147,698
1147,698,1147,716
1147,716,1129,715
1129,715,1130,698
1275,699,1289,699
1289,699,1289,715
1289,715,1275,714
1275,714,1275,699
1129,843,1146,842
1146,842,1146,860
1146,860,1130,859
1130,859,1129,843
1276,844,1290,843
1290,843,1290,859
1290,859,1275,858
1275,858,1276,844
1351,846,1368,846
1368,846,1371,986
1371,986,1446,1003
1446,1003,1515,1034
1515,1034,1671,1049
1671,1049,1690,1003
1690,1003,1705,1003
1705,1003,1703,1119
1703,1119,1734,1174
1734,1174,1797,1211
1797,1211,1867,1212
1867,1212,2015,1126
2015,1126,2042,1117
2042,1117,2151,1116
2153,1051,2026,1051
2026,1051,1992,1060
1992,1060,1870,1144
1870,1144,1802,1147
1802,1147,1772,1124
1772,1124,1769,1003
1769,1003,1787,1003
1787,1003,1800,1054
1800,1054,1923,1038
1923,1038,2045,987
2045,987,2047,848
2047,848,2057,847
2057,847,2058,957
2058,957,2155,989
2155,989,2153,1051
1511,378,1513,349
1513,349,1480,347
1480,347,1480,190
1480,190,1961,187
1961,187,1961,412
1961,412,1930,412
1930,412,1929,443
1929,443,2052,443
2052,443,2146,489
2146,489,2164,489
2164,489,2205,601
2205,601,2205,635
2205,635,2333,681
2333,681,2344,680
2344,680,2361,602
2361,602,2471,602
2471,602,2585,794
2585,794,2519,861
2519,861,2522,938
2522,938,2554,1068
2554,1068,2522,1114
2522,1114,2442,1116
2442,1116,2352,1146
2352,1146,2282,1149
2282,1149,2282,1036
2282,1036,2342,1035
2342,1035,2361,991
2361,991,2356,949
2356,949,2309,974
2309,974,2218,987
2218,987,2215,1172
2151,1116,2152,1174
2152,1174,2139,1220
2139,1220,2139,1241
2139,1241,2114,1243
2114,1243,2091,1231
2091,1231,2028,1229
2028,1229,2025,1438
2025,1438,2343,1436
2343,1436,2346,1229
2346,1229,2281,1227
2281,1227,2261,1244
2261,1244,2234,1242
2234,1242,2235,1226
2235,1226,2215,1172
2382,741,2391,739
2391,739,2411,680
2411,680,2431,679
2431,679,2503,792
2503,792,2460,856
2460,856,2459,941
2459,941,2490,1049
2490,1049,2472,1084
2472,1084,2446,1082
2446,1082,2441,952
2441,952,2415,927
2415,927,2415,927
2415,927,2405,922
2405,922,2416,879
2416,879,2382,741
1576,282,1673,282
1673,282,1674,315
1674,315,1574,316
1574,316,1576,282
1576,442,1672,443
1672,443,1673,476
1673,476,1580,474
1580,474,1576,442
1738,300,1848,299
1848,299,1849,460
1849,460,1737,462
1737,462,1738,445
1738,445,1830,443
1830,443,1832,318
1832,318,1738,314
1738,314,1738,300
1514,478,1514,539
1514,539,1771,539
1513,349,1515,218
1515,218,1928,219
1928,219,1930,412
